Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason
2,aa14,Lavender,Buy ,New  ,200,42,
3,aa15,Orchid,Buy ,New  ,300,62,
4,aa16,Lotus,Sell,New  ,200,26,
5,aa17,Rose,Sell,New  ,400,50,
6,aa18,Orchid,Sell,fill ,100,62,
3,aa15,Orchid,Buy ,pfill,100,62,
7,aa19,Lotus,Sell,New  ,200,74,
9,aa21,Lotus,Sell,New  ,400,98,
10,aa22,Rose,Sell,New  ,200,40,
12,aa24,Rose,Sell,New  ,100,10,
13,aa25,Tulip,Buy ,New  ,100,47,
14,aa26,Lavender,Buy ,Rejected,100,0,Price is not greater than 0
17,aa29,Lotus,Buy ,pfill,200,26,
4,aa16,Lotus,Sell,fill ,200,26,
18,aa30,Tulip,Buy ,New  ,300,50,
23,aa35,Orchid,Sell,pfill,200,62,
3,aa15,Orchid,Buy ,fill ,200,62,
24,aa36,Rose,Buy ,pfill,100,10,
12,aa24,Rose,Sell,fill ,100,10,
24,aa36,Rose,Buy ,fill ,100,50,
5,aa17,Rose,Sell,pfill,100,50,
24,aa36,Rose,Buy ,fill ,100,50,
5,,,Sell,pfill,100,50,
26,aa38,Rose,Sell,pfill,100,57,
24,aa36,Rose,Buy ,fill ,100,57,
27,aa39,Lavender,Sell,fill ,200,61,
11,aa23,Lavender,Buy ,pfill,200,61,
29,aa41,Rose,Sell,New  ,200,15,
30,aa42,Tulip,Buy ,pfill,100,52,
20,aa32,Tulip,Sell,fill ,100,52,
31,aa43,Lavender,Buy ,fill ,200,46,
27,aa39,Lavender,Sell,fill ,200,46,
36,aa48,Lavender,Buy ,fill ,100,84,
33,aa45,Lavender,Sell,fill ,100,84,
36,aa48,Lavender,Buy ,fill ,100,95,
19,aa31,Lavender,Sell,pfill,100,95,
37,aa49,Orchid,Sell,pfill,200,30,
16,aa28,Orchid,Buy ,fill ,200,30,
40,aa52,Orchid,Sell,New  ,100,435,
41,aa53,Rose,Buy ,fill ,100,15,
29,aa41,Rose,Sell,pfill,100,15,
41,aa53,Rose,Buy ,fill ,100,40,
10,aa22,Rose,Sell,pfill,100,40,
41,aa53,Rose,Buy ,fill ,100,40,
26,aa38,Rose,Sell,fill ,100,40,
41,aa53,Rose,Buy ,fill ,100,355,
38,aa50,Rose,Sell,pfill,100,355,
42,aa54,Rose,Buy ,pfill,100,40,
10,aa22,Rose,Sell,fill ,100,40,
42,aa54,Rose,Buy ,fill ,100,50,
5,aa17,Rose,Sell,pfill,100,50,
42,aa54,Rose,Buy ,fill ,100,355,
38,aa50,Rose,Sell,pfill,100,355,
42,aa54,Rose,Buy ,fill ,100,592,
39,aa51,Rose,Sell,pfill,100,592,
42,aa54,Rose,Buy ,fill ,100,592,
39,,,Sell,pfill,100,592,
43,aa55,Rose,Buy ,pfill,100,40,
26,aa38,Rose,Sell,fill ,100,40,
43,aa55,Rose,Buy ,pfill,100,355,
38,aa50,Rose,Sell,fill ,100,355,
44,aa56,Rose,Sell,pfill,100,753,
42,aa54,Rose,Buy ,fill ,100,753,
44,aa56,Rose,Sell,pfill,100,572,
43,aa55,Rose,Buy ,fill ,100,572,
45,aa57,Rose,Buy ,pfill,100,355,
38,aa50,Rose,Sell,fill ,100,355,
47,aa59,Rose,Buy ,pfill,100,527,
