Client Order ID,Instrument,Side,Quantity,Price
aa13,,2,200,98
aa14,Lavender,1,200,42
aa15,Orchid,1,300,62
aa16,Lotus,2,200,26
aa17,Rose,2,400,50
aa18,Orchid,2,100,47
aa19,Lotus,2,200,74
aa20,Lavender,2,300,87
aa21,Lotus,2,400,98
aa22,Rose,2,200,40
aa23,Lavender,1,400,61
aa24,Rose,2,100,10
aa25,Tulip,1,100,47
aa26,Lavender,1,100,0
aa27,Lavender,1,300,43
aa28,Orchid,1,200,30
aa29,Lotus,1,400,55
aa30,Tulip,1,300,50
aa31,Lavender,2,400,95
aa32,Tulip,2,100,52
aa33,Lotus,2,200,78
aa34,Orchid,2,200,91
aa35,Orchid,2,300,42
aa36,Rose,1,200,57
aa37,Tulip,1,100,44
aa38,Rose,2,200,40
aa39,Lavender,2,200,46
aa40,Lavender,1,100,30
aa41,Rose,2,200,15
aa42,Tulip,1,200,80
aa43,Lavender,1,200,52
aa44,Lavender,1,200,71
aa45,Lavender,2,100,84
aa46,Rose,1,100,8
aa47,Lotus,2,200,71
aa48,Lavender,1,100,99
aa49,Orchid,2,300,18
aa50,Rose,2,300,355
aa51,Rose,2,200,592
aa52,Orchid,2,100,435
aa53,Rose,1,100,361
aa54,Rose,1,200,753
aa55,Rose,1,300,572
aa56,Rose,2,300,527
aa57,Rose,1,200,373
aa58,Lavender,2,200,651
aa59,Rose,1,300,556
aa60,Rose,1,200,246
aa61,Lavender,1,100,258
aa62,Lavender,2,200,843
aa63,Lavender,1,200,224
aa64,Rose,2,300,278
aa65,Orchid,1,200,85
aa66,Tulip,1,300,9
aa67,Orchid,2,200,868
aa68,Orchid,2,300,576
aa69,Tulip,1,300,735
aa70,Orchid,2,300,684
aa71,Rose,2,200,608
aa72,Rose,2,100,923
aa73,Tulip,2,300,99
aa74,Tulip,2,200,580
aa75,Rose,1,200,224
aa76,Lavender,1,100,515
aa77,Lotus,2,300,484
aa78,Lavender,2,200,373
aa79,Lavender,2,100,979
aa80,Orchid,1,100,6
aa81,Tulip,1,300,522
aa82,Orchid,1,300,155
aa83,Lavender,2,100,872
aa84,Orchid,1,200,499
aa85,Lavender,2,300,451
aa86,Tulip,1,200,994
